,line,season,episode,line_ID
0,"Originally written by Marta Kauffman and David Crane.
Transcribed by guineapig.
SCENE 1: CENTRAL PERK. (ALL PRESENT EXCEPT RACHEL AND ROSS)",1,1,101
1,MONICA: There's nothing to tell! He's just some guy I work with!,1,1,101
2,"JOEY: C'mon, you're going out with the guy! There's gotta be something wrong with him!",1,1,101
3,CHANDLER: So does he have a hump? A hump and a hairpiece?,1,1,101
4,"PHOEBE: Wait, does he eat chalk?",1,1,101
5,"(THE OTHERS STARE, BEMUSED)",1,1,101
6,"PHOEBE: Just, 'cause, I don't want her to go through what I went through with Carl- oh!",1,1,101
7,"MONICA: Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having s*x.",1,1,101
8,CHANDLER: Sounds like a date to me.,1,1,101
9,(CUT TO SAME SET),1,1,101
10,"CHANDLER: Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realise I am totally naked.",1,1,101
11,"ALL: Oh, yeah. Had that dream.",1,1,101
12,"CHANDLER: Then I look down, and I realise there's a phone... there.",1,1,101
13,JOEY: Instead of...?,1,1,101
14,CHANDLER: That's right.,1,1,101
15,JOEY: Never had that dream.,1,1,101
16,PHOEBE: No.,1,1,101
17,"CHANDLER: All of a sudden, the phone starts to ring. And it turns out it's my mother, which is very weird, because- she never calls me!",1,1,101
18,(CUT TO SAME SET. ROSS HAS NOW ENTERED),1,1,101
19,ROSS: (MORTIFIED) Hi.,1,1,101
20,"JOEY: This guy says hello, I wanna k*ll myself.",1,1,101
21,"MONICA: Are you okay, sweetie?",1,1,101
22,"ROSS: I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",1,1,101
23,CHANDLER: Cookie?,1,1,101
24,MONICA: (EXPLAINING TO THE OTHERS) Carol moved her stuff out today. (TO ROSS) Let me get you some coffee.,1,1,101
25,PHOEBE: Ooh! Oh! (STARTS TO PLUCK AT THE AIR JUST IN FRONT OF ROSS),1,1,101
26,"ROSS: No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay? I'll be fine, alright? Really, everyone. I hope she'll be very happy.",1,1,101
27,MONICA: No you don't.,1,1,101
28,"ROSS: No I don't, to hell with her, she left me!",1,1,101
29,JOEY: And you never knew she was a lesbian...,1,1,101
30,"ROSS: No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",1,1,101
31,CHANDLER: Sometimes I wish I was a lesbian... (THE OTHERS STARE AT HIM) Did I say that out loud?,1,1,101
32,"JOEY: Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",1,1,101
33,(ROSS GESTURES HIS CONSENT),1,1,101
34,"JOEY: Strip joint! C'mon, you're single! Have some hormones!",1,1,101
35,"ROSS: I don't want to be single, okay? I just... I just- I just wanna be married again!",1,1,101
36,(ENTER RACHEL IN A WET WEDDING DRESS. SHE STARTS TO SEARCH AROUND THE ROOM),1,1,101
37,CHANDLER: And I just want a million dollars! (EXTENDS HIS HAND HOPEFULLY),1,1,101
38,MONICA: Rachel?!,1,1,101
39,"RACHEL: Oh God Monica hi! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",1,1,101
40,WAITRESS: Can I get you some coffee?,1,1,101
41,"MONICA: (POINTING AT RACHEL) De-caff. (TO THE GANG) Okay, everybody, this is Rachel, another Lincoln High survivor. (TO RACHEL) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross? ",1,1,101
42,"RACHEL: Hi, sure!",1,1,101
43,ROSS: Hi. ,1,1,101
44,"(THEY GO TO HUG BUT ROSS' UMBRELLA OPENS. HE SITS, DEFEATED AGAIN)",1,1,101
45,(A MOMENT OF SILENCE AS RACHEL SITS; THE OTHERS EXPECT HER TO EXPLAIN),1,1,101
46,"MONICA: So you wanna tell us now, or are we waiting for four wet bridesmaids?",1,1,101
47,"RACHEL: Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- (TO WAITRESS, WHO HAS BROUGHT HER COFFEE)Sweet 'n' Lo?- I realised that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, he always looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. (TO MONICA) So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",1,1,101
48,MONICA: Who wasn't invited to the wedding.,1,1,101
49,"RACHEL: Ooh, I was kinda hoping that wouldn't be an issue...",1,1,101
50,SCENE 2: MONICA'S APARTMENT (ALL PRESENT AND WATCHING A SPANISH SOAP ON TV),1,1,101
51,"MONICA: Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it. ",1,1,101
52,"RACHEL: (ON PHONE) Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me! ",1,1,101
53,"CHANDLER: (RE TV) Ooh, she should not be wearing those pants.",1,1,101
54,JOEY: I say push her down the stairs.,1,1,101
55,PHOEBE+ROSS+CHANDLER+JOEY: Push her down the stairs! Push her down the stairs! Push her down the stairs! (SHE IS PUSHED DOWN THE STAIRS. THEY CHEER),1,1,101
56,"RACHEL: C'mon Daddy, listen to me! All of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",1,1,101
57,ROSS: You can see where he'd have trouble.,1,1,101
58,"RACHEL: Look Daddy, it's my life. Well maybe I'll just stay here with Monica. ",1,1,101
59,"MONICA: Well, I guess we've established who's staying here with Monica...",1,1,101
60,"RACHEL: Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",1,1,101
61,(CUT TO SAME SET. RACHEL IS BREATHING INTO A PAPER BAG) ,1,1,101
62,"MONICA: Just breathe, breathe.. that's it. Just try to think of nice calm things...",1,1,101
63,"PHOEBE: (SINGS) Raindrops on roses and rabbits and kittens, (RACHEL AND MONICA TURN TO LOOK AT HER)..bluebells and sleighbells and- something with mittens... La la la la...",1,1,101
64,RACHEL: I'm all better now.,1,1,101
65,PHOEBE: (GRINS AND WALKS TO KITCHEN. TO CHANDLER AND JOEY) I helped!,1,1,101
66,"MONICA: Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.",1,1,101
67,"JOEY: (SITTING BESIDE HER) And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",1,1,101
68,"MONICA: Joey, stop hitting on her! It's her wedding day!",1,1,101
69,"JOEY: What, like there's a rule or something?",1,1,101
70,(THE DOOR BUZZER SOUNDS. CHANDLER GETS IT),1,1,101
71,"CHANDLER: Please don't do that again, it's a horrible sound.",1,1,101
72,"PAUL: (OVER INTERCOM) It's, uh, it's Paul.",1,1,101
73,MONICA: Buzz him in!,1,1,101
74,JOEY: Who's Paul?,1,1,101
75,"ROSS: Paul the Wine Guy, Paul?",1,1,101
76,MONICA: Maybe.,1,1,101
77,JOEY: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,1,1,101
78,ROSS: He finally asked you out?,1,1,101
79,MONICA: Yes!,1,1,101
